NGC5846_S185,226.495430,1.590700,1828,24,7.64
NGC5846_S186,226.510320,1.603460,1451,19,6.70
NGC5846_S187,226.510750,1.623180,1931,22,6.76
NGC5846_S188,226.464390,1.630020,1609,7,9.57
NGC5846_S189,226.588880,1.676930,1906,11,4.72
NGC5846_S190,226.583530,1.678660,1679,5,4.95
NGC5846_S191,226.630350,1.637130,2179,8,1.96
NGC5846_S192,226.645458,1.626750,1353,33,1.89
NGC5846_S193,226.634958,1.642722,1825,30,2.36
NGC5846_S194,226.496000,1.647556,1994,36,7.97
NGC5846_S195,226.643417,1.612139,1889,47,1.34
NGC5846_S196,226.686667,1.625139,1955,27,4.05
NGC5846_S197,226.625417,1.632833,1597,26,1.65
NGC5846_S198,226.613833,1.628167,1720,28,1.44
NGC5846_S199,226.631333,1.615306,1707,36,0.81
NGC5846_S200,226.639583,1.582278,2000,16,1.75
NGC5846_S201,226.710375,1.579667,1968,39,5.52
NGC5846_S202,226.684000,1.591917,1834,28,3.81
NGC5846_S203,226.636292,1.614611,1488,24,1.01
NGC5846_S204,226.598125,1.596806,1445,21,1.53
NGC5846_S205,226.659000,1.575194,1631,23,2.87
NGC5846_S206,226.639125,1.587167,2128,21,1.51
NGC5846_S207,226.661042,1.575611,2157,20,2.95
NGC5846_S208,226.627625,1.628056,1964,13,1.39
NGC5846_S209,226.629708,1.629778,2063,17,1.52
NGC5846_S210,226.524500,1.623806,1623,14,5.95
NGC5846_S211,226.656375,1.573306,1678,10,2.83
